Gene	A1a	A1c	A1d	A3a	A3b	A3c	A4a	A4b	A4c	A5b	A5c	A5d	M1a	M1c	M1d	M3a	M3b	M3c	M4a	M4b	M4c	M5a	M5c	M5e
HELPU_014105	872	225	574	322	381	224	296	324	229	516	453	342	661	344	845	308	182	487	518	354	359	421	710	797
HELPU_014106	742	117	481	414	481	177	434	324	205	1251	904	583	1279	564	1081	165	168	501	483	675	1028	299	2120	1532
HELPU_021972	2680	89	744	1100	1452	766	886	740	1556	3133	580	352	1648	1425	860	1519	629	1292	1879	508	915	68	1603	426
HELPU_020265	6906	1599	4934	4623	3551	1938	3334	3736	2143	3638	2691	2267	3418	3290	5431	3898	1949	3462	2781	2672	2575	3641	5883	6551
HELPU_021271	6	6	9	2	1	3	3	0	5	0	32	0	2	7	5	35	12	7	22	8	14	1	0	7
HELPU_021270	18	1	6	0	13	2	0	0	2	5	3	5	22	2	0	16	3	19	163	18	35	6	6	8
HELPU_020468	771	197	560	653	558	286	310	429	226	456	440	274	554	483	702	580	322	547	662	413	406	427	684	849
HELPU_022357	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_016787	4631	1020	3519	3109	3319	1602	1962	2857	1647	4970	5494	2684	3134	3215	4802	2797	1465	2748	2664	2279	2692	6306	7104	8594
HELPU_022034	0	7	52	0	16	2	6	4	1	11	6	2	320	852	154	13	41	11	176	74	13	6	17	3
HELPU_019781	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_014150	602	156	480	459	441	201	427	428	190	449	434	280	408	327	425	394	217	307	429	285	297	306	628	808
HELPU_014147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
HELPU_014149	4	1	2	0	1	3	1	0	0	2	3	2	5	2	0	10	15	0	5	1	8	36	6	1
HELPU_014148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_022596	741	112	659	540	301	20	35	8	65	155	440	159	3	70	1	77	53	161	401	370	464	189	280	269
HELPU_019954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_014212	7491	1412	3965	3407	4083	1739	4102	6078	4317	6036	2844	2945	2597	3020	3754	3120	2601	8058	3621	2795	2927	2341	3007	4331
HELPU_014213	2807	485	2555	3896	4275	1659	2208	2717	929	1282	1330	976	1834	2193	1504	2556	1418	4323	2356	1472	1411	1418	2187	1526
HELPU_023892	114	33	78	64	91	38	53	113	52	1	103	21	124	89	166	55	33	54	86	72	59	8	63	107
HELPU_021899	42	4	65	30	56	73	86	164	7	7	6	5	5	7	11	5	31	15	22	10	5	318	14	23
HELPU_020652	2964	727	1683	1961	2215	1094	2002	2411	781	1881	1675	975	2070	1767	2861	1373	892	2718	2018	903	908	1201	2195	2547
HELPU_021767	2418	533	1294	1359	1497	689	981	1209	772	861	1340	662	1126	1358	1658	1401	812	1498	1235	845	981	1362	1788	2634
HELPU_023614	849	235	698	579	958	285	816	601	468	1097	543	428	1199	1081	1585	400	435	572	744	552	761	786	770	971
HELPU_019195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_019196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HELPU_019197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_019144	6391	1450	5548	3406	3927	1914	1400	2200	1444	691	1710	945	1559	1133	2376	2307	1150	1436	2505	1698	1709	2295	2103	3288
HELPU_008227	472	124	604	594	401	389	339	377	226	343	327	266	377	430	588	498	383	468	363	309	325	465	656	632
HELPU_008224	18	14	11	0	20	27	6	6	10	4	8	1	0	3	7	43	10	19	15	2	1	3	20	4
HELPU_008225	1023	138	554	216	1340	241	747	1138	601	1272	536	409	774	277	151	295	456	1345	852	516	545	179	432	550
HELPU_008223	696	603	1806	772	2043	3895	7813	8351	384	3661	245	1994	860	325	586	522	549	3893	831	411	241	558	1466	552
HELPU_008226	791	188	635	357	743	288	425	550	277	849	884	451	449	319	345	425	264	508	426	277	223	542	1174	1374
HELPU_008228	4802	770	3487	2956	2899	1706	1578	2555	1358	1848	1953	970	2490	2180	3260	2708	1431	2239	3018	2272	1830	2713	3456	3777
HELPU_009292	29	13	17	12	15	18	26	30	25	24	17	3	22	65	19	54	29	47	25	27	38	13	21	9
HELPU_009298	1119	313	870	529	987	297	461	701	375	639	496	439	559	756	784	522	271	531	496	475	549	488	855	892
HELPU_009293	3121	960	1556	2142	1984	869	1870	1493	828	2144	1613	952	1414	1841	1441	1461	1247	2300	1889	1356	857	962	2698	2127
HELPU_009295	2037	496	2067	659	1259	419	1012	1604	756	1267	1044	1130	1393	1316	1483	769	582	1370	761	930	722	896	1341	1947
HELPU_009296	254	61	212	55	87	69	85	139	70	107	90	39	91	82	102	65	31	76	65	72	53	57	166	129
HELPU_009290	1642	293	1337	710	1051	459	729	1082	615	816	782	594	788	722	1132	940	447	1006	617	548	595	959	1530	1745
HELPU_009291	0	6	7	0	9	5	7	25	23	19	13	5	11	26	13	21	9	19	15	9	13	5	18	3
HELPU_009299	42	24	34	31	145	55	37	53	40	60	37	24	164	91	74	56	63	202	39	37	21	27	76	22
HELPU_009294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_009297	39	10	27	63	133	31	15	21	31	37	58	25	54	72	12	51	69	121	53	79	283	285	152	62
HELPU_019413	681	80	406	687	74	143	0	0	37	104	168	101	84	59	69	219	182	175	651	473	761	533	503	570
HELPU_023287	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_016831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HELPU_023681	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
HELPU_021727	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_022997	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_003667	212	68	214	231	256	61	235	240	40	410	54	98	217	143	140	119	149	515	334	64	53	55	355	157
HELPU_003665	96	162	245	56	183	52	26	122	89	84	42	58	99	165	191	86	4	170	186	19	84	59	92	138
HELPU_003664	35	69	137	4	78	27	17	53	12	3	5	3	7	7	11	13	1	23	9	5	10	13	12	16
HELPU_003666	32	58	120	21	55	18	6	31	33	16	11	32	44	76	78	45	3	61	48	4	28	34	46	46
HELPU_003662	236	60	75	68	84	20	113	169	61	141	45	72	85	66	58	63	66	201	137	39	55	18	66	75
HELPU_003663	106	19	41	91	69	37	33	22	23	42	75	58	42	37	93	43	16	63	25	45	35	64	98	146
HELPU_003677	354	62	271	355	200	133	208	263	113	240	204	114	143	116	260	219	174	301	297	152	257	234	290	456
HELPU_003668	60	26	33	3487	4	2	1	0	0	0	45	1	0	8	2	18	1	185	463	1	5	33	15	39
HELPU_003674	1317	183	911	38	34	252	138	206	7	167	393	180	371	440	585	38	26	253	358	181	165	50	332	382
HELPU_003673	327	137	489	68	2	171	1	0	2	315	344	359	125	145	154	39	39	183	3	4	34	56	250	104
HELPU_003670	13796	2632	10765	5076	6410	2715	4305	6303	3651	6100	5596	4115	7378	7910	11643	4377	3107	5567	5375	4852	7635	5929	7536	9423
HELPU_003678	18	9	36	0	14	9	47	68	0	98	30	20	9	15	9	15	11	42	60	6	12	19	22	8
HELPU_003669	2830	674	2058	1738	1759	996	1252	1695	989	1549	1460	903	1215	1358	1819	1572	1177	1959	1550	1130	1537	1349	2251	2441
HELPU_003675	3113	381	2031	0	0	1141	629	1078	1	777	1528	729	1350	858	2055	1248	715	1009	1726	334	392	13	1289	1580
HELPU_003676	8843	1831	5879	4983	4747	2558	3554	4794	2422	4769	4658	3187	3937	4624	6056	3576	2416	4419	3828	2964	3364	4375	7054	7709
HELPU_003672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HELPU_003671	733	303	815	824	662	406	484	531	293	935	683	525	564	570	751	559	304	636	495	500	479	728	1041	1247
HELPU_020626	52	39	32	108	247	39	167	66	25	311	9	21	52	21	33	11	35	96	7	0	6	27	405	47
HELPU_023764	4	0	0	1	2	0	1	2	0	0	0	0	1	4	0	0	0	1	1	1	1	0	0	2
HELPU_012757	1640	388	1123	975	1077	603	874	1190	565	1033	969	624	1282	1321	1540	1084	517	1022	1004	682	731	1022	1621	1585
HELPU_012758	8339	1392	4660	3472	3895	1910	2376	4909	3588	2990	5855	2736	7520	6090	8734	2810	2545	4420	3873	3986	5568	4230	5280	8535
HELPU_019689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_022628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HELPU_022730	474	114	332	757	163	198	262	230	75	360	259	114	415	293	336	220	154	217	151	146	90	107	372	294
HELPU_021626	3932	779	3404	6590	4215	4158	3004	3559	1247	1605	1856	886	4163	5688	3992	4741	2548	2546	4366	3113	5769	3302	3900	3124
HELPU_023315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_014399	30	7	2	102	2	0	8	26	6	25	43	13	4	1	12	19	2	8	7	6	10	20	58	10
HELPU_014400	88	26	49	133	5	0	10	264	10	172	174	77	31	21	39	45	4	7	17	9	17	266	227	241
HELPU_020956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELPU_001669	9335	999	20085	32121	9619	26842	5541	12832	3891	1597	7640	2505	5966	9818	3211	6325	9283	5651	15601	8148	13164	12571	13877	5875
HELPU_001666	157	38	65	97	16	91	47	52	55	71	128	41	289	47	267	61	25	211	98	133	65	37	412	232
HELPU_001668	1824	449	1244	926	1274	484	1255	1627	625	1365	703	477	1028	979	1065	907	577	1092	1037	543	652	598	1411	1794
HELPU_001667	1375	269	962	767	754	512	706	1036	573	782	811	607	1026	686	1296	691	380	519	803	716	752	700	1136	2025
